school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,9,Bath County,140,Bath County High,188,NA,188
2021-2022,9,Bath County,120,Millboro Elementary,141,NA,141
2021-2022,9,Bath County,150,Valley Elementary,173,NA,173
2021-2022,10,Bedford County,480,Bedford Elementary,423,NA,423
2021-2022,10,Bedford County,1200,Bedford Primary,275,NA,275
2021-2022,10,Bedford County,30,Big Island Elementary,146,NA,146
2021-2022,10,Bedford County,160,Boonsboro Elementary,340,NA,340
2021-2022,10,Bedford County,500,Forest Elementary,351,NA,351
2021-2022,10,Bedford County,1211,Forest Middle,881,NA,881
2021-2022,10,Bedford County,1214,Goodview Elementary,483,NA,483
2021-2022,10,Bedford County,980,Huddleston Elementary,217,NA,217
2021-2022,10,Bedford County,1212,Jefferson Forest High,1283,NA,1283
2021-2022,10,Bedford County,1180,Liberty High,713,NA,713
2021-2022,10,Bedford County,490,Liberty Middle,541,1,542
2021-2022,10,Bedford County,970,Moneta Elementary,216,NA,216
2021-2022,10,Bedford County,180,Montvale Elementary,245,NA,245
2021-2022,10,Bedford County,610,New London Academy Elementary,318,NA,318
2021-2022,10,Bedford County,1170,Otter River Elementary,190,NA,190
2021-2022,10,Bedford County,1190,Staunton River High,919,NA,919
2021-2022,10,Bedford County,1191,Staunton River Middle,597,NA,597
2021-2022,10,Bedford County,640,Stewartsville Elementary,340,NA,340
2021-2022,10,Bedford County,1213,Thomas Jefferson Elementary,530,NA,530
2021-2022,11,Bland County,250,Bland County Elementary,347,NA,347
2021-2022,11,Bland County,260,Bland County High,372,NA,372
2021-2022,12,Botetourt County,220,Breckinridge Elementary,174,NA,174
2021-2022,12,Botetourt County,20,Buchanan Elementary,300,NA,300
2021-2022,12,Botetourt County,420,Central Academy Middle,357,NA,357
2021-2022,12,Botetourt County,390,Cloverdale Elementary,259,NA,259
2021-2022,12,Botetourt County,400,Colonial Elementary,440,NA,440
2021-2022,12,Botetourt County,30,Eagle Rock Elementary,128,NA,128
2021-2022,12,Botetourt County,460,Greenfield Elementary,432,NA,432
2021-2022,12,Botetourt County,430,James River High,476,NA,476
2021-2022,12,Botetourt County,440,Lord Botetourt High,1009,NA,1009
2021-2022,12,Botetourt County,450,Read Mountain Middle,638,NA,638
2021-2022,12,Botetourt County,40,Troutville Elementary,259,NA,259
2021-2022,102,Bristol City,60,Highland View Elementary,181,NA,181
2021-2022,102,Bristol City,100,Joseph Van Pelt Elementary,421,NA,421
2021-2022,102,Bristol City,70,Stonewall Jackson Elementary,240,NA,240
2021-2022,102,Bristol City,80,Virginia High,639,NA,639
2021-2022,102,Bristol City,10,Virginia Middle,486,NA,486
2021-2022,102,Bristol City,90,Washington-Lee Elementary,233,NA,233
2021-2022,13,Brunswick County,650,Brunswick High,439,NA,439
2021-2022,13,Brunswick County,660,James S. Russell Middle,326,NA,326
2021-2022,13,Brunswick County,690,Meherrin Powellton Elementary,178,NA,178
2021-2022,13,Brunswick County,700,Red Oak-Sturgeon Elementary,181,NA,181
2021-2022,13,Brunswick County,720,Totaro Elementary,295,NA,295
2021-2022,14,Buchanan County,90,Council Elementary/Middle,177,NA,177
2021-2022,14,Buchanan County,1000,Council High,125,NA,125
2021-2022,14,Buchanan County,990,Grundy High,355,NA,355
2021-2022,14,Buchanan County,120,Hurley Elementary/Middle,365,NA,365
2021-2022,14,Buchanan County,1020,Hurley High,203,NA,203
2021-2022,14,Buchanan County,1040,Riverview Elementary/Middle,726,NA,726
2021-2022,14,Buchanan County,1041,Twin Valley Elementary/Middle,278,NA,278
2021-2022,14,Buchanan County,1042,Twin Valley High,198,NA,198
2021-2022,15,Buckingham County,724,Buckingham Co Elementary,412,NA,412
2021-2022,15,Buckingham County,20,Buckingham Co Prekindergarten Center,88,NA,88
2021-2022,15,Buckingham County,723,Buckingham Co Primary,333,NA,333
2021-2022,15,Buckingham County,700,Buckingham County High,596,NA,596
2021-2022,15,Buckingham County,721,Buckingham County Middle,504,NA,504
2021-2022,103,Buena Vista City,40,Enderly Heights Elementary,185,NA,185
2021-2022,103,Buena Vista City,70,F.W. Kling Jr. Elementary,233,NA,233
2021-2022,103,Buena Vista City,62,Parry McCluer High,345,NA,345
2021-2022,103,Buena Vista City,61,Parry McCluer Middle,124,NA,124
2021-2022,16,Campbell County,560,Altavista Elementary,490,NA,490
2021-2022,16,Campbell County,200,Altavista High,702,NA,702
2021-2022,16,Campbell County,650,Brookneal Elementary,411,NA,411
2021-2022,16,Campbell County,720,Brookville High,1000,NA,1000
2021-2022,16,Campbell County,20,Brookville Middle,734,NA,734
2021-2022,16,Campbell County,130,Concord Elementary,411,NA,411
2021-2022,16,Campbell County,690,Leesville Road Elementary,598,NA,598
2021-2022,16,Campbell County,821,Rustburg Elementary,438,NA,438
2021-2022,16,Campbell County,222,Rustburg High,805,NA,805
2021-2022,16,Campbell County,211,Rustburg Middle,605,NA,605
2021-2022,16,Campbell County,60,Tomahawk Elementary,692,NA,692
2021-2022,16,Campbell County,542,William Campbell High,407,NA,407
2021-2022,16,Campbell County,710,Yellow Branch Elementary,561,NA,561
2021-2022,17,Caroline County,620,Bowling Green Elementary,736,NA,736
2021-2022,17,Caroline County,460,Caroline High,1218,NA,1218
2021-2022,17,Caroline County,450,Caroline Middle,972,NA,972
2021-2022,17,Caroline County,9020,Lewis and Clark Elementary,871,NA,871
