school_name,sch_id
Homebound,0169998
Leesville Road Elementary,0160690
Local or Regional Jail,0169997
Rustburg Elementary,0160821
Rustburg High,0160222
Rustburg Middle,0160211
Special Situation Schools,0168888
Suspension Services,0169992
Tomahawk Elementary,0160060
William Campbell High,0160542
Yellow Branch Elementary,0160710
Bowling Green Elementary,0170620
Caroline High,0170460
Caroline Middle,0170450
Community PK School,0179990
Home Educational Services,0179991
Homebased,0179999
Homebound,0179998
Lewis and Clark Elementary,0179020
Local or Regional Jail,0179997
Lotus Academy,0170750
Madison Elementary,0170630
Special Situation Schools,0178888
Suspension Services,0179992
Blue Ridge Crossroads Governor's Academy for Technical Education,0187313
Carroll County Education Center,0181240
Carroll County High,0181230
Carroll County Middle,0180450
Community PK School,0189990
Fancy Gap Elementary,0181180
Gladesboro Elementary,0181150
Gladeville Elementary,0181210
Hillsville Elementary,0181170
Home Educational Services,0189991
Homebased 9999,0189999
Homebound 9998,0189998
Laurel Elementary,0181160
Oakland Elementary,0181130
Special Situation Schools,0188888
St. Paul,0181110
Suspension Services,0189992
Charles City County Elementary,0190080
Charles City County High,0190100
Community PK School,0199990
Home Educational Services,0199991
Homebased,0199999
Homebound,0199998
Special Situation Schools,0198888
Suspension Services,0199992
Bacon District Elementary,0200470
Central Middle,0200210
Community PK School,0209990
Eureka Elementary,0200100
Home Educational Services,0209991
Homebased,0209999
Homebound,0209998
Local or Regional Jail,0209997
Phenix Elementary,0200450
Randolph-Henry High,0200460
Special Situation Schools,0208888
Suspension Services,0209992
Charlottesville High,1040140
Charlottesville Middle,1040100
Community PK School,1049990
Greenbrier Elementary,1040090
Home Educational Services,1049991
Homebased,1049999
Homebound,1049998
Jackson-Via Elementary,1040120
Lugo-McGinness Academy,1040242
Opportunity Alt Ed Ctr Feeding Site,1040244
Special Situation Schools,1048888
Summit Elementary,1040050
Sunrise Elementary,1040070
Suspension Services,1049992
Tall Oaks Elementary,1040010
Trailblazer Elementary,1040040
UVA Lab School Innovation Hub,1048477
Walker Upper Elementary,1040110
B.M. Williams Elementary,1360035
Butts Road Intermediate,1360860
Butts Road Primary,1360770
Camelot Elementary,1360090
Cedar Road Elementary,1360900
Chesapeake Career Center,1360780
Chesapeake Center for Student Success,1360130
Chesapeake SECEP Center,1360975
Chesapeake Virtual Academy,1360970
Community PK School,1369990
Crestwood Elementary School,1360045
Crestwood Middle,1360560
Deep Creek Central Elementary,1360660
Deep Creek Elementary,1360210
Deep Creek High,1360100
Deep Creek Middle,1360610
Edwin W. Chittum Elementary,1360640
G.A. Treakle Elementary,1360720
George W. Carver Intermediate,1360050
Georgetown Primary,1360820
Grassfield Elementary,1360950
Grassfield High,1360960
Grassfield High School Governor's STEM Academy,1360965
Great Bridge High,1360120
Great Bridge Intermediate,1360850
Great Bridge Middle,1360590
Great Bridge Primary,1360680
Greenbrier Intermediate,1360870
Greenbrier Middle,1360972
Greenbrier Primary,1360140
Hickory Elementary,1360340
Hickory High,1360890
Hickory Middle,1360280
Home Educational Services,1369991
Homebased,1369999
Homebound,1369998
Hugo A. Owens Middle,1360920
Indian River High,1360830
Indian River Middle,1360710
Indian River Middle Annex,1360974
Jolliff Middle,1360973
Local or Regional Jail,1369997
Norfolk Highlands Primary,1360160
Oscar F. Smith High,1360080
Oscar Smith Middle,1360010
Portlock Primary,1360730
Rena B. Wright Primary,1360200
Smith Tech School of Computer Science Innovation and Design,1361100
Southeastern Elementary,1360620
Southwestern Elementary,1360600
Sparrow Road Intermediate,1360750
Special Situation Schools,1368888
Suspension Services,1369992
Thurgood Marshall Elementary,1360040
Truitt Intermediate,1360971
Western Branch High,1360840
Western Branch Intermediate,1360810
Western Branch Middle,1360740
Western Branch Primary,1360110
A.M. Davis Elementary,0210620
Academy 360,0210930
Alberta Smith Elementary,0210861
Bailey Bridge Middle,0210631
Bellwood Elementary,0210660
Bensley Elementary,0210430
Bettie Weaver Elementary,0210510
Beulah Elementary,0210130
Bon Air Elementary,0210020
C.C. Wells Elementary,0210050
C.E. Curtis Elementary,0210492
CCPS Online,0210891
Carver College and Career Academy,0210030
Carver Middle,0210420
Chester Early Childhood Learning Academy,0210033
Chesterfield Career & Technical Center at Hull,0210089
Chesterfield Career and Technical Center at Courthouse,0210140
Chesterfield Co Governor's Health/Science Academy,0210990
Chesterfield Recovery Academy,0210325
Chesterfield Virtual School,0210093
Clover Hill Elementary,0210150
Clover Hill High,0210740
Community PK School,0219990
Cosby High,0210840
Crestwood Elementary,0210560
Deep Creek Middle,0210094
Ecoff Elementary,0210480
Elizabeth Davis Middle,0210870
Elizabeth Scott Elementary,0210850
Enon Elementary,0210390
Ettrick Elementary,0210350
Evergreen Elementary,0210300
Falling Creek Elementary,0210590
Falling Creek Middle,0210670
Governor's Career and Technical Academy for Engineering Studies,0210980
Grange Hall Elementary,0210180
Greenfield Elementary,0210070
Harrowgate Elementary,0210460
Home Educational Services,0219991
Homebased,0219999
Homebound,0219998
Hopkins Road Elementary,0210060
J.A. Chalkley Elementary,0210550
J.B. Watkins Elementary,0210650
J.G. Hening Elementary,0210500
Jacobs Road Elementary,0210400
James River High,0210770
Lloyd C. Bird High,0210010
Local or Regional Jail,0219997
Manchester High,0210632
Manchester Middle,0210600
Marguerite F. Christian Elementary,0210780
Matoaca Elementary,0210370
Matoaca High,0210530
Matoaca Middle,0210110
Meadowbrook High,0210580
Midlothian High,0210320
Midlothian Middle,0210040
Monacan High,0210280
Moseley Elementary,0210092
Night School at Community High,0210999
O.B. Gates Elementary,0210360
Old Hundred Elementary,0210090
Phoenix Center,0210141
Providence Elementary,0210380
Providence Middle,0210690
Reams Road Elementary,0210700
Robious Elementary,0210730
Robious Middle,0210760
Salem Church Elementary,0210720
Salem Church Middle,0210722
Special Situation Schools,0218888
Spring Run Elementary,0210800
Suspension Services,0219992
Swift Creek Elementary,0210340
Swift Creek Middle,0210270
Thelma Crenshaw Elementary,0210410
Thomas Dale High,0210610
Tomahawk Creek Middle,0210880
W.W. Gordon Elementary,0210290
Winterpock Elementary,0210860
Woolridge Elementary,0210440
Boyce Elementary,0220250
Clarke County High,0220010
Community PK School,0229990
D.G. Cooley Elementary,0220290
Home Educational Services,0229991
Homebased,0229999
Homebound,0229998
Johnson-Williams Middle,0220280
Special Situation Schools,0228888
Suspension Services,0229992
Colonial Beach Elementary,2020022
Colonial Beach High,2020021
Community PK School,2029990
Home Educational Services,2029991
Homebased,2029999
Homebound,2029998
Special Situation Schools,2028888
Suspension Services,2029992
Colonial Heights High,1060040
Colonial Heights Middle,1060020
Colonial Heights Technical Center,1060161
Community PK School,1069990
Home Educational Services,1069991
Homebased,1069999
Homebound,1069998
Lakeview Elementary,1060050
North Elementary,1060030
Special Situation Schools,1068888
Suspension Services,1069992
Tussing Elementary,1060060
Community PK School,0239990
Craig County High,0230011
Home Educational Services,0239991
Homebased,0239999
Homebound,0239998
McCleary Elementary,0230010
Special Situation Schools,0238888
Suspension Services,0239992
A.G. Richardson Elementary,0240240
Community PK School,0249990
Culpeper County High,0240480
Culpeper Middle,0240020
Culpeper Technical Education Center,0240912
Eastern View High,0240050
Emerald Hill Elementary,0240450
Farmington Elementary,0240470
Floyd T. Binns Middle,0240581
Galbreath-Marshall Building,0240582
Home Educational Services,0249991
Homebased,0249999
Homebound,0249998
Local or Regional Jail,0249997
Pearl Sample Elementary,0240010
Phoenix Alternative Education Program,0240916
Special Situation Schools,0248888
Suspension Services,0249992
Sycamore Park Elementary,0240460
Yowell Elementary,0240040
Community PK School,0259990
Cumberland Elementary,0250140
Cumberland High,0250151
Cumberland Middle,0250152
Home Educational Services,0259991
Homebased,0259999
Homebound,0259998
Special Situation Schools,0258888
Suspension Services,0259992
6th Grade Academy at Arnett Hills,1080234
6th Grade Academy at Schoolfield,1080041
ACTIV8 Academy,1082024
Adult & Career Education Center,1081378
Arnett Hills Elementary,1080055
Community PK School,1089990
Danville Public Schools Virtual Academy at Glenwood,1081271
Edwin A. Gibson Elementary,1080490
Forest Hills Elementary,1080020
Galileo Magnet High,1081374
George Washington High,1080210
Grove Park Preschool,1080200
Home Educational Services,1089991
Homebased,1089999
Homebound,1089998
I.W. Taylor Virtual Middle Academy,1082022
I.W. Taylor Virtual Secondary Academy,1082023
Innov8 Stem Academy,1082025
Local Or Regional Jail,1089997
O. Trent Bonner Middle,1080260
Park Avenue Elementary,1080250
R.I.S.E Academy at the John M. Langston Campus,1080139
Schoolfield Elementary,1080040
Special Situation Schools,1088888
Suspension Services,1089992
The Northside Preschool,1080030
Virtual Academy at I.W. Taylor,1081380
Westwood Middle,1081372
Woodberry Hills Elementary,1080220
Community PK School,0269990
Home Educational Services,0269991
Homebased,0269999
Homebound,0269998
Local or Regional Jail,0269997
Ridgeview Elementary,0260281
Ridgeview High,0260275
Ridgeview Middle,0260280
Special Situation Schools,0268888
Suspension Services,0269992
Community PK School,0279990
Dinwiddie County High,0270500
Dinwiddie County Middle,0270471
Dinwiddie Elementary,0270310
Home Educational Services,0279991
Homebased,0279999
Homebound,0279998
Local or Regional Jail,0279997
Midway Elementary,0270250
Southside Elementary,0270010
Special Situation Schools,0278888
Sunnyside Elementary,0270180
Suspension Services,0279992
Sutherland Elementary,0270520
Community PK School,0289990
Essex High,0280010
Home Educational Services,0289991
Homebased,0289999
Homebound,0289998
James H. Cary Intermediate,0280150
Special Situation Schools,0288888
Suspension Services,0289992
Tappahannock Elementary,0280160
ALC at Burke,0292352
Aldrin Elementary,0292203
Annandale High,0290660
Annandale Terrace Elementary,0291360
Archer Elementary,0290110
Armstrong Elementary,0291530
Bailey's Elementary School for the Arts and Sciences,0290550
Bailey's Upper Elementary School for the Arts and Sciences,0292459
Beech Tree Elementary,0291730
Belle View Elementary,0290560
Belvedere Elementary,0290720
Bonnie Brae Elementary,0292000
Braddock Elementary,0291090
Bren Mar Park Elementary,0290940
Brookfield Elementary,0291790
Bryant High,0292201
Bucknell Elementary,0290700
Bull Run Early Childhood Resource Center,0292251
Bull Run Elementary,0292225
Burke School,0290310
Bush Hill Elementary,0290680
Camelot Elementary,0291940
Cameron Elementary,0290620
Canterbury Woods Elementary,0291590
Cardinal Forest Elementary,0291690
Carson Middle,0292222
Cedar Lane School,0290880
Centre Ridge Elementary,0292090
Centreville Elementary,0292205
Centreville High,0290200
Chantilly Governor's STEM Academy,0292446
Chantilly High,0290131
Chantilly High School Academy,0292445
Cherry Run Elementary,0290480
Chesterbrook Elementary,0290100
Churchill Road Elementary,0291050
Clearview Elementary,0290260
Clermont Elementary,0291870
Clifford S. Hardison Governor's Health Sciences Academy,0292456
Coates Elementary,0292347
Columbia Elementary,0291510
Colvin Run Elementary,0292234
Community Based Education,0290191
Community PK School,0299990
Cooper Middle,0291190
Crestwood Elementary,0290870
Crossfield Elementary,0292020
Cub Run Elementary,0291600
Cunningham Park Elementary,0291700
DJJ or Fairfax/Falls Church Community SVCS BD Schools,0299996
Daniels Run Elementary,0292229
Davis Career Center,0290450
Deer Park Elementary,0292204
Dogwood Elementary,0290220
Dranesville Elementary,0292010
Dunn Loring Early Childhood Resource Center,0292238
Eagle View Elementary,0292243
Edison High,0291270
Edison High School Academy,0292447
FCPS Online Campus,0292457
Fairfax County Adult High,0290190
Fairfax High,0290020
Fairfax High School Academy,0292449
Fairfax Villa Elementary,0291480
Fairhill Elementary,0291630
Fairview Elementary,0290290
Falls Church Governor's Health Sciences Academy,0292452
Falls Church High,0291100
Falls Church High School Academy,0292451
Flint Hill Elementary,0290730
Floris Elementary,0290740
Forest Edge Elementary,0290070
Forestdale Elementary,0291450
Forestville Elementary,0290370
Fort Belvoir Elementary,0292224
Fort Belvoir Upper Elementary,0292458
Fort Hunt Elementary,0291920
Fox Mill Elementary,0290390
Franconia Elementary,0290320
Franklin Middle,0290440
Freedom Hill Elementary,0290490
Frost Middle,0291410
Garfield Elementary,0290630
Glasgow Middle,0291170
Glen Forest Elementary,0290970
Graham Road Elementary,0290530
Great Falls Elementary,0290570
Greenbriar East Elementary,0291840
Greenbriar West Elementary,0291500
Groveton Elementary,0290330
Gunston Elementary,0290690
Halley Elementary,0292210
Haycock Elementary,0290750
Hayfield Elementary,0291740
Hayfield Secondary,0291800
Herndon Elementary,0291250
Herndon High,0290032
Herndon Middle,0290033
Hollin Meadows Elementary,0291330
Holmes Middle,0291521
Home Educational Services,0299991
Homebased,0299999
Homebound,0299998
Hughes Middle,0290350
Hunt Valley Elementary,0291880
Hunters Woods Elementary School for the Arts and Sciences,0291950
Hutchison Elementary,0291980
Hybla Valley Elementary,0291420
Interagency Alternative Secondary Center,0291015
Irving Middle,0291120
Island Creek Elementary,0292235
Jackson Middle,0290673
Johnson Middle,0291110
Justice High,0291070
Keene Mill Elementary,0291240
Kent Gardens Elementary,0290980
Key Center,0291901
Key Middle,0291900
Kilmer Center,0291761
Kilmer Middle,0291760
Kings Glen Elementary,0291890
Kings Park Elementary,0291440
Lake Anne Elementary,0291570
Lake Braddock Secondary,0290090
Lane Elementary,0292209
Langley High,0291460
Laurel Hill Elementary,0292348
Laurel Ridge Elementary,0291970
Lees Corner Elementary,0291850
Lemon Road Elementary,0290770
Lewis High,0291020
Liberty Middle,0292233
Little Run Elementary,0291400
Local or Regional Jail,0299997
London Towne Elementary,0291830
Longfellow Middle,0291150
Lorton Station Elementary,0292236
Lynbrook Elementary,0290890
Madison High,0291060
Mantua Elementary,0291210
Marshall Governor's STEM Academy,0292454
Marshall High,0291290
Marshall High School Academy,0292453
Marshall Road Elementary,0291200
Mason Crest Elementary,0292410
McLean High,0290790
McNair Elementary,0292231
McNair Upper Elementary,0292200
Mosaic Elementary,0291390
Mount Eagle Elementary,0290510
Mount Vernon High,0290420
Mount Vernon Woods Elementary,0291640
Mountain View High,0292211
Navy Elementary,0290800
Newington Forest Elementary,0290470
North Springfield Elementary,0290930
Oak Hill Elementary,0290430
Oak View Elementary,0291860
Oakton Elementary,0290140
Oakton High,0291710
Olde Creek Elementary,0291650
Orange Hunt Elementary,0290150
Parklawn Elementary,0291030
Pimmit Early Childhood Resource Center,0292440
Pine Spring Elementary,0290820
Plum Center For Lifelong Learning,0292351
Poe Middle,0291130
Poplar Tree Elementary,0292080
Powell Elementary,0292237
Providence Elementary,0292230
Pulley Career Center,0290901
Quander Road School,0291750
Ravensworth Elementary,0291310
Riverside Elementary,0291820
Robinson Secondary,0291960
Rocky Run Middle,0290300
Rolling Valley Elementary,0291770
Rose Hill Elementary,0290950
Sandburg Middle,0291300
Sangster Elementary,0292030
Saratoga Elementary,0292040
Sherman Elementary,0290080
Shrevewood Elementary,0291660
Silverbrook Elementary,0291680
Sleepy Hollow Elementary,0290710
South County High,0292241
South County Middle,0292420
South Lakes High,0291990
Special Situation Schools,0298888
Spring Hill Elementary,0291620
Springfield Estates Elementary,0290960
Stenwood Elementary,0291380
Stone Middle,0292070
Stratford Landing Elementary,0291350
Sunrise Valley Elementary,0290280
Suspension Services,0299992
Terra Centre Elementary,0290170
Terraset Elementary,0290250
Thomas Jefferson High for Science and Technology,0291371
Thoreau Middle,0291140
Timber Lane Elementary,0290830
Twain Middle,0291160
Union Mill Elementary,0291540
Vienna Elementary,0290120
Virginia Hills Early Childhood Resource Center,0292252
Virginia Run Elementary,0292050
Wakefield Forest Elementary,0290850
Waples Mill Elementary,0292100
Washington Mill Elementary,0291320
Waynewood Elementary,0291080
West Potomac High,0290900
West Potomac High School Academy,0292455
West Springfield Elementary,0291430
West Springfield High,0291610
Westbriar Elementary,0291580
Westfield High,0292228
Westgate Elementary,0291670
Westlawn Elementary,0290580
Weyanoke Elementary,0290520
White Oaks Elementary,0290400
Whitman Middle,0291550
Willow Springs Elementary,0292060
Wolftrap Elementary,0291810
Woodburn Elementary,0290650
Woodlawn Elementary,0290380
Woodley Hills Elementary,0290590
Woodson High,0291260
