school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2021-2022,33,Franklin County,350,Callaway Elementary,SBP,Suspension of Bus Privileges,1,1,school,Western Virginia,6
2021-2022,33,Franklin County,20,Dudley Elementary,CR,Class Removal (less than 1/2 day),5,5,school,Western Virginia,6
2021-2022,33,Franklin County,20,Dudley Elementary,ISS,In-School Suspension (1/2 day or more),4,4,school,Western Virginia,6
2021-2022,33,Franklin County,20,Dudley Elementary,LOP,Loss of School Privileges or Participation in Extr,11,9,school,Western Virginia,6
2021-2022,33,Franklin County,20,Dudley Elementary,OSS,Out of school suspension by School Admin,8,5,school,Western Virginia,6
2021-2022,33,Franklin County,20,Dudley Elementary,SBP,Suspension of Bus Privileges,1,1,school,Western Virginia,6
2021-2022,33,Franklin County,1360,Ferrum Elementary,CR,Class Removal (less than 1/2 day),5,1,school,Western Virginia,6
2021-2022,33,Franklin County,1360,Ferrum Elementary,ISS,In-School Suspension (1/2 day or more),3,3,school,Western Virginia,6
2021-2022,33,Franklin County,1360,Ferrum Elementary,LOP,Loss of School Privileges or Participation in Extr,14,12,school,Western Virginia,6
2021-2022,33,Franklin County,1360,Ferrum Elementary,OSS,Out of school suspension by School Admin,2,2,school,Western Virginia,6
2021-2022,33,Franklin County,1360,Ferrum Elementary,SBP,Suspension of Bus Privileges,5,5,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,CR,Class Removal (less than 1/2 day),172,110,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,DS,Detention Sanction Outside of Regular School Hours,205,122,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,ISS,In-School Suspension (1/2 day or more),198,110,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,LOP,Loss of School Privileges or Participation in Extr,263,179,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,OSS,Out of school suspension by Division Admin,4,4,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,OSS,Out of school suspension by School Admin,511,259,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,SBCS,School-based Community Service Assigned,1,1,school,Western Virginia,6
2021-2022,33,Franklin County,1311,Franklin County High,SBP,Suspension of Bus Privileges,87,66,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,CR,Class Removal (less than 1/2 day),2,1,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,LOP,Loss of School Privileges or Participation in Extr,22,15,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,OSS,Out of school suspension by Division Admin,1,1,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,OSS,Out of school suspension by School Admin,13,2,school,Western Virginia,6
2021-2022,33,Franklin County,10,Henry Elementary,SBP,Suspension of Bus Privileges,2,2,school,Western Virginia,6
2021-2022,33,Franklin County,660,Lee M. Waid Elementary,CR,Class Removal (less than 1/2 day),5,5,school,Western Virginia,6
2021-2022,33,Franklin County,660,Lee M. Waid Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Western Virginia,6
2021-2022,33,Franklin County,660,Lee M. Waid Elementary,LOP,Loss of School Privileges or Participation in Extr,7,6,school,Western Virginia,6
2021-2022,33,Franklin County,660,Lee M. Waid Elementary,OSS,Out of school suspension by School Admin,9,5,school,Western Virginia,6
2021-2022,33,Franklin County,660,Lee M. Waid Elementary,SBP,Suspension of Bus Privileges,8,6,school,Western Virginia,6
2021-2022,33,Franklin County,1380,Rocky Mount Elementary,CR,Class Removal (less than 1/2 day),22,14,school,Western Virginia,6
2021-2022,33,Franklin County,1380,Rocky Mount Elementary,ISS,In-School Suspension (1/2 day or more),4,4,school,Western Virginia,6
2021-2022,33,Franklin County,1380,Rocky Mount Elementary,LOP,Loss of School Privileges or Participation in Extr,9,6,school,Western Virginia,6
2021-2022,33,Franklin County,1380,Rocky Mount Elementary,OSS,Out of school suspension by School Admin,17,11,school,Western Virginia,6
2021-2022,33,Franklin County,1170,Snow Creek Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Western Virginia,6
2021-2022,33,Franklin County,1170,Snow Creek Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Western Virginia,6
2021-2022,33,Franklin County,1170,Snow Creek Elementary,OSS,Out of school suspension by School Admin,24,2,school,Western Virginia,6
2021-2022,33,Franklin County,960,Sontag Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Western Virginia,6
2021-2022,33,Franklin County,960,Sontag Elementary,OSS,Out of school suspension by School Admin,2,2,school,Western Virginia,6
2021-2022,33,Franklin County,960,Sontag Elementary,SBP,Suspension of Bus Privileges,2,2,school,Western Virginia,6
2021-2022,33,Franklin County,980,Windy Gap Elementary,ISS,In-School Suspension (1/2 day or more),7,7,school,Western Virginia,6
2021-2022,33,Franklin County,980,Windy Gap Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Western Virginia,6
2021-2022,33,Franklin County,980,Windy Gap Elementary,OSS,Out of school suspension by School Admin,10,8,school,Western Virginia,6
2021-2022,33,Franklin County,980,Windy Gap Elementary,SBP,Suspension of Bus Privileges,8,8,school,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,CR,Class Removal (less than 1/2 day),396,265,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,472,310,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,ISS,In-School Suspension (1/2 day or more),750,415,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,418,295,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,OSS,Out of school suspension,1,1,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,OSS,Out of school suspension by Division Admin,6,6,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,OSS,Out of school suspension by School Admin,1123,563,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,SBCS,School-based Community Service Assigned,2,2,division,Western Virginia,6
2021-2022,33,Franklin County,NA,NA,SBP,Suspension of Bus Privileges,322,251,division,Western Virginia,6
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,ALT,Alternative Program Placement by Division Admin,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,ALT,Alternative Program Placement by School Board,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,CR,Class Removal (less than 1/2 day),307,157,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,DS,Detention Sanction Outside of Regular School Hours,220,103,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,ISS,In-School Suspension (1/2 day or more),1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,LOP,Loss of School Privileges or Participation in Extr,5,5,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,OSS,Out of school suspension by School Admin,110,58,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,SBCS,School-based Community Service Assigned,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,586,Admiral Richard E. Byrd Middle,SBP,Suspension of Bus Privileges,12,10,school,Northern Virginia,4
2021-2022,34,Frederick County,10,Apple Pie Ridge Elementary,CR,Class Removal (less than 1/2 day),6,4,school,Northern Virginia,4
2021-2022,34,Frederick County,10,Apple Pie Ridge Elementary,DS,Detention Sanction Outside of Regular School Hours,2,1,school,Northern Virginia,4
2021-2022,34,Frederick County,10,Apple Pie Ridge Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2021-2022,34,Frederick County,10,Apple Pie Ridge Elementary,OSS,Out of school suspension by School Admin,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,320,Armel Elementary,CR,Class Removal (less than 1/2 day),44,15,school,Northern Virginia,4
2021-2022,34,Frederick County,320,Armel Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,320,Armel Elementary,OSS,Out of school suspension by School Admin,10,6,school,Northern Virginia,4
2021-2022,34,Frederick County,320,Armel Elementary,SBP,Suspension of Bus Privileges,7,3,school,Northern Virginia,4
2021-2022,34,Frederick County,20,Bass-Hoover Elementary,CR,Class Removal (less than 1/2 day),101,55,school,Northern Virginia,4
2021-2022,34,Frederick County,20,Bass-Hoover Elementary,DS,Detention Sanction Outside of Regular School Hours,22,14,school,Northern Virginia,4
2021-2022,34,Frederick County,20,Bass-Hoover Elementary,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,20,Bass-Hoover Elementary,OSS,Out of school suspension by School Admin,33,19,school,Northern Virginia,4
2021-2022,34,Frederick County,20,Bass-Hoover Elementary,SBP,Suspension of Bus Privileges,14,12,school,Northern Virginia,4
2021-2022,34,Frederick County,585,Dowell J. Howard School,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,585,Dowell J. Howard School,OSS,Out of school suspension by School Admin,80,46,school,Northern Virginia,4
2021-2022,34,Frederick County,585,Dowell J. Howard School,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,587,Evendale Elementary,CR,Class Removal (less than 1/2 day),18,9,school,Northern Virginia,4
2021-2022,34,Frederick County,587,Evendale Elementary,LOP,Loss of School Privileges or Participation in Extr,24,16,school,Northern Virginia,4
2021-2022,34,Frederick County,587,Evendale Elementary,OSS,Out of school suspension by School Admin,15,12,school,Northern Virginia,4
2021-2022,34,Frederick County,587,Evendale Elementary,SBP,Suspension of Bus Privileges,15,7,school,Northern Virginia,4
2021-2022,34,Frederick County,460,Frederick County Middle,CR,Class Removal (less than 1/2 day),117,69,school,Northern Virginia,4
2021-2022,34,Frederick County,460,Frederick County Middle,DS,Detention Sanction Outside of Regular School Hours,124,95,school,Northern Virginia,4
2021-2022,34,Frederick County,460,Frederick County Middle,LOP,Loss of School Privileges or Participation in Extr,43,40,school,Northern Virginia,4
2021-2022,34,Frederick County,460,Frederick County Middle,OSS,Out of school suspension by School Admin,127,86,school,Northern Virginia,4
2021-2022,34,Frederick County,460,Frederick County Middle,SBP,Suspension of Bus Privileges,27,18,school,Northern Virginia,4
2021-2022,34,Frederick County,380,Gainesboro Elementary,CR,Class Removal (less than 1/2 day),14,10,school,Northern Virginia,4
2021-2022,34,Frederick County,380,Gainesboro Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,380,Gainesboro Elementary,OSS,Out of school suspension by School Admin,27,13,school,Northern Virginia,4
2021-2022,34,Frederick County,380,Gainesboro Elementary,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,590,Greenwood Mill Elementary,CR,Class Removal (less than 1/2 day),8,6,school,Northern Virginia,4
2021-2022,34,Frederick County,590,Greenwood Mill Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,590,Greenwood Mill Elementary,OSS,Out of school suspension by School Admin,19,10,school,Northern Virginia,4
2021-2022,34,Frederick County,590,Greenwood Mill Elementary,SBP,Suspension of Bus Privileges,10,7,school,Northern Virginia,4
2021-2022,34,Frederick County,40,Indian Hollow Elementary,CR,Class Removal (less than 1/2 day),6,6,school,Northern Virginia,4
2021-2022,34,Frederick County,40,Indian Hollow Elementary,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,40,Indian Hollow Elementary,LOP,Loss of School Privileges or Participation in Extr,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,40,Indian Hollow Elementary,OSS,Out of school suspension by School Admin,15,6,school,Northern Virginia,4
2021-2022,34,Frederick County,40,Indian Hollow Elementary,SBP,Suspension of Bus Privileges,8,8,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,ALT,Alternative Program Placement by Division Admin,7,7,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,CR,Class Removal (less than 1/2 day),43,37,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,DS,Detention Sanction Outside of Regular School Hours,1002,325,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,OSS,Out of school suspension by Division Admin,7,7,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,OSS,Out of school suspension by School Admin,318,150,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,OSS,Out of school suspension by School Board,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,SBCS,School-based Community Service Assigned,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,30,James Wood High,SBP,Suspension of Bus Privileges,24,16,school,Northern Virginia,4
2021-2022,34,Frederick County,420,James Wood Middle,CR,Class Removal (less than 1/2 day),306,156,school,Northern Virginia,4
2021-2022,34,Frederick County,420,James Wood Middle,DS,Detention Sanction Outside of Regular School Hours,2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,420,James Wood Middle,OSS,Out of school suspension by School Admin,268,131,school,Northern Virginia,4
2021-2022,34,Frederick County,420,James Wood Middle,SBP,Suspension of Bus Privileges,62,47,school,Northern Virginia,4
2021-2022,34,Frederick County,591,Jordan Springs Elementary,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,591,Jordan Springs Elementary,DS,Detention Sanction Outside of Regular School Hours,6,5,school,Northern Virginia,4
2021-2022,34,Frederick County,591,Jordan Springs Elementary,OSS,Out of school suspension by School Admin,20,12,school,Northern Virginia,4
2021-2022,34,Frederick County,591,Jordan Springs Elementary,SBP,Suspension of Bus Privileges,7,5,school,Northern Virginia,4
2021-2022,34,Frederick County,340,Middletown Elementary,CR,Class Removal (less than 1/2 day),195,72,school,Northern Virginia,4
2021-2022,34,Frederick County,340,Middletown Elementary,OSS,Out of school suspension by School Admin,7,3,school,Northern Virginia,4
2021-2022,34,Frederick County,340,Middletown Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,ALT,Alternative Program Placement by Division Admin,5,5,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,ALT,Alternative Program Placement by School Board,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,CR,Class Removal (less than 1/2 day),2012,458,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,OSS,Out of school suspension by Division Admin,7,7,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,OSS,Out of school suspension by School Admin,510,232,school,Northern Virginia,4
2021-2022,34,Frederick County,584,Millbrook High,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,583,Orchard View Elementary,OSS,Out of school suspension by School Admin,34,15,school,Northern Virginia,4
2021-2022,34,Frederick County,583,Orchard View Elementary,SBP,Suspension of Bus Privileges,9,7,school,Northern Virginia,4
2021-2022,34,Frederick County,582,Redbud Run Elementary,CR,Class Removal (less than 1/2 day),9,9,school,Northern Virginia,4
2021-2022,34,Frederick County,582,Redbud Run Elementary,OSS,Out of school suspension by School Admin,2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,582,Redbud Run Elementary,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,480,Robert E. Aylor Middle,ALT,Alternative Program Placement by Division Admin,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,480,Robert E. Aylor Middle,CR,Class Removal (less than 1/2 day),508,203,school,Northern Virginia,4
2021-2022,34,Frederick County,480,Robert E. Aylor Middle,DS,Detention Sanction Outside of Regular School Hours,30,22,school,Northern Virginia,4
2021-2022,34,Frederick County,480,Robert E. Aylor Middle,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Northern Virginia,4
2021-2022,34,Frederick County,480,Robert E. Aylor Middle,OSS,Out of school suspension by School Admin,195,103,school,Northern Virginia,4
2021-2022,34,Frederick County,480,Robert E. Aylor Middle,SBP,Suspension of Bus Privileges,19,13,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,ALT,Alternative Program Placement by Division Admin,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,ALT,Alternative Program Placement by School Board,4,4,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,CR,Class Removal (less than 1/2 day),609,280,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,DS,Detention Sanction Outside of Regular School Hours,12,11,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,OSS,Out of school suspension by Division Admin,3,3,school,Northern Virginia,4
2021-2022,34,Frederick County,581,Sherando High,OSS,Out of school suspension by School Admin,380,214,school,Northern Virginia,4
2021-2022,34,Frederick County,410,Stonewall Elementary,CR,Class Removal (less than 1/2 day),6,5,school,Northern Virginia,4
2021-2022,34,Frederick County,410,Stonewall Elementary,SBP,Suspension of Bus Privileges,5,2,school,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,ALT,Alternative Program Placement by Division Admin,19,19,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,ALT,Alternative Program Placement by School Board,8,8,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,CR,Class Removal (less than 1/2 day),4311,1553,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,1421,579,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,ISS,In-School Suspension (1/2 day or more),1,1,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,88,77,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,OSS,Out of school suspension by Division Admin,18,18,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,OSS,Out of school suspension by School Admin,2173,1121,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,OSS,Out of school suspension by School Board,1,1,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,SBCS,School-based Community Service Assigned,6,6,division,Northern Virginia,4
2021-2022,34,Frederick County,NA,NA,SBP,Suspension of Bus Privileges,226,162,division,Northern Virginia,4
2021-2022,110,Fredericksburg City,50,Hugh Mercer Elementary,CR,Class Removal (less than 1/2 day),6,6,school,NA,NA
2021-2022,110,Fredericksburg City,50,Hugh Mercer Elementary,ISS,In-School Suspension (1/2 day or more),379,136,school,NA,NA
2021-2022,110,Fredericksburg City,50,Hugh Mercer Elementary,OSS,Out of school suspension by School Admin,135,53,school,NA,NA
2021-2022,110,Fredericksburg City,50,Hugh Mercer Elementary,SBP,Suspension of Bus Privileges,49,39,school,NA,NA
2021-2022,110,Fredericksburg City,40,James Monroe High,CR,Class Removal (less than 1/2 day),3,3,school,NA,NA
2021-2022,110,Fredericksburg City,40,James Monroe High,DS,Detention Sanction Outside of Regular School Hours,100,77,school,NA,NA
2021-2022,110,Fredericksburg City,40,James Monroe High,ISS,In-School Suspension (1/2 day or more),157,80,school,NA,NA
2021-2022,110,Fredericksburg City,40,James Monroe High,OSS,Out of school suspension by School Admin,126,95,school,NA,NA
2021-2022,110,Fredericksburg City,40,James Monroe High,SBP,Suspension of Bus Privileges,3,3,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,CR,Class Removal (less than 1/2 day),2,2,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,ISS,In-School Suspension (1/2 day or more),124,73,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,LOP,Loss of School Privileges or Participation in Extr,18,17,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,OSS,Out of school suspension by Division Admin,1,1,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,OSS,Out of school suspension by School Admin,96,51,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,SBCS,School-based Community Service Assigned,2,2,school,NA,NA
2021-2022,110,Fredericksburg City,272,Lafayette Elementary,SBP,Suspension of Bus Privileges,11,10,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,DS,Detention Sanction Outside of Regular School Hours,65,51,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,ISS,In-School Suspension (1/2 day or more),401,163,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,LOP,Loss of School Privileges or Participation in Extr,13,13,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,OSS,Out of school suspension by Division Admin,1,1,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,OSS,Out of school suspension by School Admin,207,115,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,SBCS,School-based Community Service Assigned,1,1,school,NA,NA
2021-2022,110,Fredericksburg City,273,Walker-Grant Middle,SBP,Suspension of Bus Privileges,65,37,school,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,CR,Class Removal (less than 1/2 day),11,11,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,DS,Detention Sanction Outside of Regular School Hours,165,128,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,ISS,In-School Suspension (1/2 day or more),1061,452,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,LOP,Loss of School Privileges or Participation in Extr,31,30,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,OSS,Out of school suspension by Division Admin,2,2,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,OSS,Out of school suspension by School Admin,564,314,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,SBCS,School-based Community Service Assigned,3,3,division,NA,NA
2021-2022,110,Fredericksburg City,NA,NA,SBP,Suspension of Bus Privileges,128,89,division,NA,NA
2021-2022,111,Galax City,10,Galax Elementary,CR,Class Removal (less than 1/2 day),4,3,school,NA,NA
2021-2022,111,Galax City,10,Galax Elementary,DS,Detention Sanction Outside of Regular School Hours,1,1,school,NA,NA
2021-2022,111,Galax City,10,Galax Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,NA,NA
2021-2022,111,Galax City,10,Galax Elementary,LOP,Loss of School Privileges or Participation in Extr,16,9,school,NA,NA
2021-2022,111,Galax City,10,Galax Elementary,OSS,Out of school suspension by School Admin,5,4,school,NA,NA
2021-2022,111,Galax City,10,Galax Elementary,SBP,Suspension of Bus Privileges,2,2,school,NA,NA
2021-2022,111,Galax City,31,Galax High,DS,Detention Sanction Outside of Regular School Hours,3,2,school,NA,NA
2021-2022,111,Galax City,31,Galax High,ISS,In-School Suspension (1/2 day or more),51,38,school,NA,NA
2021-2022,111,Galax City,31,Galax High,OSS,Out of school suspension by School Admin,52,33,school,NA,NA
2021-2022,111,Galax City,31,Galax High,SBP,Suspension of Bus Privileges,3,3,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,CR,Class Removal (less than 1/2 day),10,10,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,DS,Detention Sanction Outside of Regular School Hours,7,7,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,ISS,In-School Suspension (1/2 day or more),57,34,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,LOP,Loss of School Privileges or Participation in Extr,84,60,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,OSS,Out of school suspension by Division Admin,1,1,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,OSS,Out of school suspension by School Admin,44,34,school,NA,NA
2021-2022,111,Galax City,32,Galax Middle,SBP,Suspension of Bus Privileges,1,1,school,NA,NA
2021-2022,111,Galax City,NA,NA,CR,Class Removal (less than 1/2 day),14,13,division,NA,NA
2021-2022,111,Galax City,NA,NA,DS,Detention Sanction Outside of Regular School Hours,11,10,division,NA,NA
2021-2022,111,Galax City,NA,NA,ISS,In-School Suspension (1/2 day or more),109,73,division,NA,NA
2021-2022,111,Galax City,NA,NA,LOP,Loss of School Privileges or Participation in Extr,100,69,division,NA,NA
2021-2022,111,Galax City,NA,NA,OSS,Out of school suspension by Division Admin,1,1,division,NA,NA
2021-2022,111,Galax City,NA,NA,OSS,Out of school suspension by School Admin,101,71,division,NA,NA
2021-2022,111,Galax City,NA,NA,SBP,Suspension of Bus Privileges,6,6,division,NA,NA
2021-2022,35,Giles County,10,Eastern Elementary/Middle,ISS,In-School Suspension (1/2 day or more),1,1,school,Southwest,7
2021-2022,35,Giles County,10,Eastern Elementary/Middle,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Southwest,7
2021-2022,35,Giles County,10,Eastern Elementary/Middle,OSS,Out of school suspension by School Admin,3,3,school,Southwest,7
2021-2022,35,Giles County,461,Giles High,CR,Class Removal (less than 1/2 day),37,26,school,Southwest,7
2021-2022,35,Giles County,461,Giles High,ISS,In-School Suspension (1/2 day or more),133,71,school,Southwest,7
2021-2022,35,Giles County,461,Giles High,LOP,Loss of School Privileges or Participation in Extr,9,8,school,Southwest,7
2021-2022,35,Giles County,461,Giles High,OSS,Out of school suspension by Division Admin,1,1,school,Southwest,7
2021-2022,35,Giles County,461,Giles High,OSS,Out of school suspension by School Admin,56,40,school,Southwest,7
2021-2022,35,Giles County,461,Giles High,SBP,Suspension of Bus Privileges,6,5,school,Southwest,7
2021-2022,35,Giles County,390,Macy Mcclaugherty Elementary/Middle,CR,Class Removal (less than 1/2 day),4,2,school,Southwest,7
2021-2022,35,Giles County,390,Macy Mcclaugherty Elementary/Middle,ISS,In-School Suspension (1/2 day or more),19,15,school,Southwest,7
2021-2022,35,Giles County,390,Macy Mcclaugherty Elementary/Middle,LOP,Loss of School Privileges or Participation in Extr,7,7,school,Southwest,7
2021-2022,35,Giles County,390,Macy Mcclaugherty Elementary/Middle,OSS,Out of school suspension by School Admin,13,10,school,Southwest,7
2021-2022,35,Giles County,390,Macy Mcclaugherty Elementary/Middle,SBP,Suspension of Bus Privileges,4,4,school,Southwest,7
2021-2022,35,Giles County,400,Narrows Elementary/Middle,CR,Class Removal (less than 1/2 day),16,9,school,Southwest,7
2021-2022,35,Giles County,400,Narrows Elementary/Middle,ISS,In-School Suspension (1/2 day or more),27,19,school,Southwest,7
2021-2022,35,Giles County,400,Narrows Elementary/Middle,LOP,Loss of School Privileges or Participation in Extr,9,9,school,Southwest,7
2021-2022,35,Giles County,400,Narrows Elementary/Middle,OSS,Out of school suspension by School Admin,25,17,school,Southwest,7
2021-2022,35,Giles County,400,Narrows Elementary/Middle,SBP,Suspension of Bus Privileges,14,13,school,Southwest,7
2021-2022,35,Giles County,470,Narrows High,CR,Class Removal (less than 1/2 day),16,12,school,Southwest,7
2021-2022,35,Giles County,470,Narrows High,DS,Detention Sanction Outside of Regular School Hours,8,6,school,Southwest,7
2021-2022,35,Giles County,470,Narrows High,ISS,In-School Suspension (1/2 day or more),25,24,school,Southwest,7
2021-2022,35,Giles County,470,Narrows High,OSS,Out of school suspension by School Admin,19,17,school,Southwest,7
2021-2022,35,Giles County,NA,NA,CR,Class Removal (less than 1/2 day),73,49,division,Southwest,7
