school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2023-2024,033,285,NA,285,school,Western Virginia,6,Franklin County,197,1380,0331380,Rocky Mount Elementary
2023-2024,033,208,NA,208,school,Western Virginia,6,Franklin County,133,1170,0331170,Snow Creek Elementary
2023-2024,033,216,NA,216,school,Western Virginia,6,Franklin County,125,0960,0330960,Sontag Elementary
2023-2024,033,252,NA,252,school,Western Virginia,6,Franklin County,117,0980,0330980,Windy Gap Elementary
2023-2024,034,808,NA,808,school,Northern Virginia,4,Frederick County,276,0586,0340586,Admiral Richard E. Byrd Middle
2023-2024,034,427,NA,427,school,Northern Virginia,4,Frederick County,196,0010,0340010,Apple Pie Ridge Elementary
2023-2024,034,598,NA,598,school,Northern Virginia,4,Frederick County,169,0320,0340320,Armel Elementary
2023-2024,034,621,NA,621,school,Northern Virginia,4,Frederick County,277,0020,0340020,Bass-Hoover Elementary
2023-2024,034,581,NA,581,school,Northern Virginia,4,Frederick County,312,0587,0340587,Evendale Elementary
2023-2024,034,751,NA,751,school,Northern Virginia,4,Frederick County,294,0460,0340460,Frederick County Middle
2023-2024,034,489,NA,489,school,Northern Virginia,4,Frederick County,184,0380,0340380,Gainesboro Elementary
2023-2024,034,582,NA,582,school,Northern Virginia,4,Frederick County,224,0590,0340590,Greenwood Mill Elementary
2023-2024,034,383,NA,383,school,Northern Virginia,4,Frederick County,184,0040,0340040,Indian Hollow Elementary
2023-2024,034,1463,1,1464,school,Northern Virginia,4,Frederick County,498,0030,0340030,James Wood High
2023-2024,034,834,NA,834,school,Northern Virginia,4,Frederick County,402,0420,0340420,James Wood Middle
2023-2024,034,607,NA,607,school,Northern Virginia,4,Frederick County,258,0591,0340591,Jordan Springs Elementary
2023-2024,034,584,NA,584,school,Northern Virginia,4,Frederick County,247,0340,0340340,Middletown Elementary
2023-2024,034,1573,NA,1573,school,Northern Virginia,4,Frederick County,706,0584,0340584,Millbrook High
2023-2024,034,449,NA,449,school,Northern Virginia,4,Frederick County,182,0583,0340583,Orchard View Elementary
2023-2024,034,596,NA,596,school,Northern Virginia,4,Frederick County,285,0582,0340582,Redbud Run Elementary
2023-2024,034,798,NA,798,school,Northern Virginia,4,Frederick County,336,0480,0340480,Robert E. Aylor Middle
2023-2024,034,1642,NA,1642,school,Northern Virginia,4,Frederick County,590,0581,0340581,Sherando High
2023-2024,034,386,NA,386,school,Northern Virginia,4,Frederick County,204,0410,0340410,Stonewall Elementary
2023-2024,110,849,NA,849,school,Northern Neck,3,Fredericksburg City,598,0050,1100050,Hugh Mercer Elementary
2023-2024,110,1006,NA,1006,school,Northern Neck,3,Fredericksburg City,510,0040,1100040,James Monroe High
2023-2024,110,809,NA,809,school,Northern Neck,3,Fredericksburg City,449,0272,1100272,Lafayette Elementary
2023-2024,110,138,NA,138,school,Northern Neck,3,Fredericksburg City,105,0030,1100030,Walker-Grant Early Childhood Center
2023-2024,110,776,NA,776,school,Northern Neck,3,Fredericksburg City,483,0273,1100273,Walker-Grant Middle
2023-2024,111,685,NA,685,school,Southwest,7,Galax City,443,0010,1110010,Galax Elementary
2023-2024,111,403,1,404,school,Southwest,7,Galax City,224,0031,1110031,Galax High
2023-2024,111,329,NA,329,school,Southwest,7,Galax City,201,0032,1110032,Galax Middle
2023-2024,035,459,NA,459,school,Southwest,7,Giles County,243,0010,0350010,Eastern Elementary/Middle
2023-2024,035,1226,NA,1226,school,Southwest,7,Giles County,161,0112,0350112,Giles County K-12 Virtual School
2023-2024,035,554,NA,554,school,Southwest,7,Giles County,253,0461,0350461,Giles High
2023-2024,035,462,NA,462,school,Southwest,7,Giles County,238,0390,0350390,Macy Mcclaugherty Elementary/Middle
2023-2024,035,499,NA,499,school,Southwest,7,Giles County,247,0400,0350400,Narrows Elementary/Middle
2023-2024,035,299,NA,299,school,Southwest,7,Giles County,154,0470,0350470,Narrows High
2023-2024,036,437,6,443,school,Northern Neck,3,Gloucester County,224,0250,0360250,Abingdon Elementary
2023-2024,036,434,4,438,school,Northern Neck,3,Gloucester County,191,0240,0360240,Achilles Elementary
2023-2024,036,496,6,502,school,Northern Neck,3,Gloucester County,221,0381,0360381,Bethel Elementary
2023-2024,036,531,9,540,school,Northern Neck,3,Gloucester County,209,0100,0360100,Botetourt Elementary
2023-2024,036,1549,NA,1549,school,Northern Neck,3,Gloucester County,602,0260,0360260,Gloucester High
2023-2024,036,564,NA,564,school,Northern Neck,3,Gloucester County,271,0802,0360802,Page Middle
2023-2024,036,593,NA,593,school,Northern Neck,3,Gloucester County,240,0280,0360280,Peasley Middle
2023-2024,036,386,1,387,school,Northern Neck,3,Gloucester County,192,0270,0360270,Petsworth Elementary
2023-2024,037,312,NA,312,school,Central Virginia,1,Goochland County,150,0120,0370120,Byrd Elementary
2023-2024,037,357,NA,357,school,Central Virginia,1,Goochland County,102,0360,0370360,Goochland Elementary
2023-2024,037,847,NA,847,school,Central Virginia,1,Goochland County,252,0220,0370220,Goochland High
2023-2024,037,599,NA,599,school,Central Virginia,1,Goochland County,189,0340,0370340,Goochland Middle
2023-2024,037,457,NA,457,school,Central Virginia,1,Goochland County,131,0260,0370260,Randolph Elementary
2023-2024,038,147,NA,147,school,Southwest,7,Grayson County,89,0480,0380480,Fairview Elementary
2023-2024,038,234,NA,234,school,Southwest,7,Grayson County,157,0911,0380911,Fries Elementary
2023-2024,038,457,NA,457,school,Southwest,7,Grayson County,235,0421,0380421,Grayson County High
2023-2024,038,142,NA,142,school,Southwest,7,Grayson County,75,0430,0380430,Grayson Highlands
2023-2024,038,301,NA,301,school,Southwest,7,Grayson County,174,0422,0380422,Independence Elementary
2023-2024,038,295,NA,295,school,Southwest,7,Grayson County,151,0011,0380011,Independence Middle
2023-2024,039,340,NA,340,school,Valley,5,Greene County,187,0020,0390020,Nathanael Greene Elementary
2023-2024,039,371,NA,371,school,Valley,5,Greene County,205,0010,0390010,Nathanael Greene Primary
2023-2024,039,503,NA,503,school,Valley,5,Greene County,180,0030,0390030,Ruckersville Elementary
2023-2024,039,979,NA,979,school,Valley,5,Greene County,386,0072,0390072,William Monroe High
2023-2024,039,625,NA,625,school,Valley,5,Greene County,267,0071,0390071,William Monroe Middle
2023-2024,040,437,NA,437,school,Southside,8,Greensville County,315,0190,0400190,Edward W. Wyatt Middle
2023-2024,040,602,NA,602,school,Southside,8,Greensville County,427,0200,0400200,Greensville County High
2023-2024,040,988,NA,988,school,Southside,8,Greensville County,647,0050,0400050,Greensville Elementary
2023-2024,041,230,NA,230,school,Southside,8,Halifax County,108,1560,0411560,Clays Mill Elementary
2023-2024,041,533,NA,533,school,Southside,8,Halifax County,277,0020,0410020,Cluster Springs Elementary
2023-2024,041,1351,2,1353,school,Southside,8,Halifax County,721,0010,0410010,Halifax County High
2023-2024,041,871,NA,871,school,Southside,8,Halifax County,493,1480,0411480,Halifax County Middle
2023-2024,041,160,NA,160,school,Southside,8,Halifax County,91,1550,0411550,Meadville Elementary
2023-2024,041,186,NA,186,school,Southside,8,Halifax County,118,1510,0411510,Scottsburg Elementary
2023-2024,041,247,NA,247,school,Southside,8,Halifax County,188,1521,0411521,Sinai Elementary
2023-2024,041,694,NA,694,school,Southside,8,Halifax County,469,0030,0410030,South Boston Elementary
2023-2024,041,123,NA,123,school,Southside,8,Halifax County,79,0950,0410950,South Boston/Halifax Early Learning Center
2023-2024,041,181,NA,181,school,Southside,8,Halifax County,116,1490,0411490,Sydnor Jennings Elementary
2023-2024,112,499,NA,499,school,Tidewater,2,Hampton City,289,0500,1120500,A.W.E. Bassette Elementary
2023-2024,112,452,NA,452,school,Tidewater,2,Hampton City,263,0160,1120160,Aberdeen Elementary
2023-2024,112,385,NA,385,school,Tidewater,2,Hampton City,203,0470,1120470,Albert W. Patrick III Elementary
2023-2024,112,532,NA,532,school,Tidewater,2,Hampton City,288,0260,1120260,Alfred S. Forrest Elementary
2023-2024,112,278,NA,278,school,Tidewater,2,Hampton City,80,0120,1120120,Armstrong Elementary
2023-2024,112,382,NA,382,school,Tidewater,2,Hampton City,131,0330,1120330,Barron Elementary
2023-2024,112,866,NA,866,school,Tidewater,2,Hampton City,496,0350,1120350,Benjamin Syms Middle
2023-2024,112,1802,NA,1802,school,Tidewater,2,Hampton City,932,0430,1120430,Bethel High
2023-2024,112,674,NA,674,school,Tidewater,2,Hampton City,422,0450,1120450,C. Alton Lindsay Middle
2023-2024,112,384,NA,384,school,Tidewater,2,Hampton City,219,0460,1120460,Captain John Smith Elementary
2023-2024,112,695,NA,695,school,Tidewater,2,Hampton City,397,0300,1120300,Cesar Tarrant Middle
2023-2024,112,449,NA,449,school,Tidewater,2,Hampton City,245,0420,1120420,Christopher C. Kraft Elementary
2023-2024,112,435,NA,435,school,Tidewater,2,Hampton City,183,0030,1120030,Francis Asbury Elementary
2023-2024,112,597,NA,597,school,Tidewater,2,Hampton City,241,0070,1120070,Francis W. Jones Magnet Middle
2023-2024,112,1559,NA,1559,school,Tidewater,2,Hampton City,615,0650,1120650,George P. Phenix Elementary
2023-2024,112,1240,NA,1240,school,Tidewater,2,Hampton City,738,0280,1120280,Hampton High
2023-2024,112,1125,NA,1125,school,Tidewater,2,Hampton City,609,0640,1120640,Hunter B. Andrews
2023-2024,112,349,NA,349,school,Tidewater,2,Hampton City,192,0250,1120250,Jane H. Bryan Elementary
2023-2024,112,1520,NA,1520,school,Tidewater,2,Hampton City,686,0320,1120320,Kecoughtan High
2023-2024,112,446,NA,446,school,Tidewater,2,Hampton City,281,0490,1120490,Luther W. Machen Elementary
2023-2024,112,401,NA,401,school,Tidewater,2,Hampton City,262,0440,1120440,Mary S. Peake Elementary
2023-2024,112,302,NA,302,school,Tidewater,2,Hampton City,189,0270,1120270,Mary T. Christian Elementary
2023-2024,112,338,NA,338,school,Tidewater,2,Hampton City,90,0360,1120360,Mary W. Jackson Elementary
2023-2024,112,224,NA,224,school,Tidewater,2,Hampton City,10,0210,1120210,Moton Early Childhood Center
2023-2024,112,417,NA,417,school,Tidewater,2,Hampton City,206,0410,1120410,Paul Burbank Elementary
2023-2024,112,432,NA,432,school,Tidewater,2,Hampton City,200,0370,1120370,Phillips Elementary
2023-2024,112,1417,NA,1417,school,Tidewater,2,Hampton City,816,0050,1120050,Phoebus High
2023-2024,112,479,NA,479,school,Tidewater,2,Hampton City,183,0180,1120180,Samuel P. Langley Elementary
2023-2024,112,600,NA,600,school,Tidewater,2,Hampton City,312,0380,1120380,Thomas Eaton Middle
2023-2024,112,382,NA,382,school,Tidewater,2,Hampton City,138,0080,1120080,William Mason Cooper Elementary
2023-2024,042,1509,NA,1509,school,Central Virginia,1,Hanover County,350,0062,0420062,Atlee High
2023-2024,042,368,NA,368,school,Central Virginia,1,Hanover County,88,0360,0420360,Battlefield Park Elementary
2023-2024,042,311,NA,311,school,Central Virginia,1,Hanover County,120,0020,0420020,Beaverdam Elementary
2023-2024,042,933,NA,933,school,Central Virginia,1,Hanover County,436,0440,0420440,Bell Creek Middle
2023-2024,042,1123,NA,1123,school,Central Virginia,1,Hanover County,247,0061,0420061,Chickahominy Middle
2023-2024,042,502,NA,502,school,Central Virginia,1,Hanover County,229,0070,0420070,Cold Harbor Elementary
2023-2024,042,803,NA,803,school,Central Virginia,1,Hanover County,114,0551,0420551,Cool Spring Elementary
2023-2024,042,371,NA,371,school,Central Virginia,1,Hanover County,204,0430,0420430,Elmont Elementary
2023-2024,042,1358,NA,1358,school,Central Virginia,1,Hanover County,303,0554,0420554,Hanover High
2023-2024,042,359,NA,359,school,Central Virginia,1,Hanover County,223,0150,0420150,NA
2023-2024,042,307,NA,307,school,Central Virginia,1,Hanover County,172,0162,0420162,NA
2023-2024,042,679,NA,679,school,Central Virginia,1,Hanover County,114,0200,0420200,Kersey Creek Elementary
2023-2024,042,563,NA,563,school,Central Virginia,1,Hanover County,263,0210,0420210,Laurel Meadow Elementary
2023-2024,042,917,NA,917,school,Central Virginia,1,Hanover County,409,0450,0420450,Liberty Middle
2023-2024,042,580,NA,580,school,Central Virginia,1,Hanover County,387,0420,0420420,Mechanicsville Elementary
2023-2024,042,1334,NA,1334,school,Central Virginia,1,Hanover County,531,0370,0420370,Mechanicsville High
2023-2024,042,881,NA,881,school,Central Virginia,1,Hanover County,187,0553,0420553,Oak Knoll Middle
2023-2024,042,1330,NA,1330,school,Central Virginia,1,Hanover County,585,0400,0420400,Patrick Henry High
2023-2024,042,575,NA,575,school,Central Virginia,1,Hanover County,104,0410,0420410,Pearson's Corner Elementary
2023-2024,042,529,NA,529,school,Central Virginia,1,Hanover County,129,0552,0420552,Pole Green Elementary
2023-2024,042,650,NA,650,school,Central Virginia,1,Hanover County,104,0030,0420030,Rural Point Elementary
2023-2024,042,437,NA,437,school,Central Virginia,1,Hanover County,152,0040,0420040,South Anna Elementary
2023-2024,042,401,NA,401,school,Central Virginia,1,Hanover County,150,0290,0420290,Washington-Henry Elementary
2023-2024,113,560,NA,560,school,Valley,5,Harrisonburg City,295,0120,1130120,Bluestone Elementary
2023-2024,113,1994,4,1998,school,Valley,5,Harrisonburg City,978,0012,1130012,Harrisonburg High
2023-2024,113,496,NA,496,school,Valley,5,Harrisonburg City,212,0050,1130050,Keister Elementary
2023-2024,113,719,NA,719,school,Valley,5,Harrisonburg City,372,0111,1130111,Skyline Middle
2023-2024,113,727,NA,727,school,Valley,5,Harrisonburg City,416,0110,1130110,Smithland Elementary
2023-2024,113,463,NA,463,school,Valley,5,Harrisonburg City,276,0060,1130060,Spotswood Elementary
2023-2024,113,553,NA,553,school,Valley,5,Harrisonburg City,344,0191,1130191,Stone Spring Elementary
2023-2024,113,716,NA,716,school,Valley,5,Harrisonburg City,354,0080,1130080,Thomas Harrison Middle
2023-2024,113,559,NA,559,school,Valley,5,Harrisonburg City,328,0030,1130030,Waterman Elementary
2023-2024,043,129,NA,129,school,Central Virginia,1,Henrico County,95,0421,0430421,NA
2023-2024,043,339,NA,339,school,Central Virginia,1,Henrico County,187,0450,0430450,Anthony P. Mehfoud Elementary
2023-2024,043,460,NA,460,school,Central Virginia,1,Henrico County,286,0320,0430320,Arthur Ashe Jr. Elementary
2023-2024,043,1029,NA,1029,school,Central Virginia,1,Henrico County,635,0500,0430500,Brookland Middle
2023-2024,043,532,NA,532,school,Central Virginia,1,Henrico County,341,0120,0430120,Cashell Donahoe Elementary
2023-2024,043,349,NA,349,school,Central Virginia,1,Henrico County,211,0590,0430590,Chamberlayne Elementary
2023-2024,043,396,NA,396,school,Central Virginia,1,Henrico County,247,0530,0430530,Charles M. Johnson Elementary
2023-2024,043,695,NA,695,school,Central Virginia,1,Henrico County,127,0093,0430093,Colonial Trail Elementary
2023-2024,043,375,NA,375,school,Central Virginia,1,Henrico County,155,0400,0430400,Crestview Elementary
2023-2024,043,496,NA,496,school,Central Virginia,1,Henrico County,55,0082,0430082,David A. Kaechele Elementary
2023-2024,043,2039,NA,2039,school,Central Virginia,1,Henrico County,238,0160,0430160,Deep Run High
2023-2024,043,1887,NA,1887,school,Central Virginia,1,Henrico County,625,0410,0430410,Douglas S. Freeman High
2023-2024,043,620,NA,620,school,Central Virginia,1,Henrico County,355,0700,0430700,Dumbarton Elementary
2023-2024,043,530,NA,530,school,Central Virginia,1,Henrico County,157,0300,0430300,Echo Lake Elementary
2023-2024,043,805,NA,805,school,Central Virginia,1,Henrico County,549,0680,0430680,Elizabeth Holladay Elementary
2023-2024,043,705,NA,705,school,Central Virginia,1,Henrico County,434,0092,0430092,Elko Middle
2023-2024,043,357,NA,357,school,Central Virginia,1,Henrico County,271,0200,0430200,Fair Oaks Elementary
2023-2024,043,889,NA,889,school,Central Virginia,1,Henrico County,521,0510,0430510,Fairfield Middle
2023-2024,043,604,NA,604,school,Central Virginia,1,Henrico County,94,0150,0430150,Gayton Elementary
2023-2024,043,452,NA,452,school,Central Virginia,1,Henrico County,308,0470,0430470,George F. Baker Elementary
2023-2024,043,1102,NA,1102,school,Central Virginia,1,Henrico County,342,0390,0430390,George H. Moody Middle
2023-2024,043,575,NA,575,school,Central Virginia,1,Henrico County,115,0020,0430020,Glen Allen Elementary
2023-2024,043,1913,NA,1913,school,Central Virginia,1,Henrico County,459,0096,0430096,Glen Allen High
2023-2024,043,430,NA,430,school,Central Virginia,1,Henrico County,365,0380,0430380,Glen Lea Elementary
2023-2024,043,620,NA,620,school,Central Virginia,1,Henrico County,265,0260,0430260,Greenwood Elementary
2023-2024,043,392,NA,392,school,Central Virginia,1,Henrico County,297,0420,0430420,Harold Macon Ratcliffe Elementary
2023-2024,043,530,NA,530,school,Central Virginia,1,Henrico County,363,0094,0430094,Harvie Elementary
2023-2024,043,1310,NA,1310,school,Central Virginia,1,Henrico County,722,0610,0430610,Henrico High
2023-2024,043,642,NA,642,school,Central Virginia,1,Henrico County,396,0083,0430083,Henrico Virtual Academy
2023-2024,043,499,NA,499,school,Central Virginia,1,Henrico County,297,0330,0430330,Henry D. Ward Elementary
2023-2024,043,1720,NA,1720,school,Central Virginia,1,Henrico County,882,0670,0430670,Hermitage High
2023-2024,043,483,NA,483,school,Central Virginia,1,Henrico County,396,0640,0430640,Highland Springs Elementary
2023-2024,043,1990,NA,1990,school,Central Virginia,1,Henrico County,1144,0190,0430190,Highland Springs High
2023-2024,043,862,NA,862,school,Central Virginia,1,Henrico County,262,0095,0430095,Holman Middle
2023-2024,043,852,NA,852,school,Central Virginia,1,Henrico County,294,0100,0430100,Hungary Creek Middle
2023-2024,043,529,NA,529,school,Central Virginia,1,Henrico County,218,0620,0430620,Jackson Davis Elementary
2023-2024,043,469,NA,469,school,Central Virginia,1,Henrico County,331,0660,0430660,Jacob L. Adams Elementary
2023-2024,043,2032,NA,2032,school,Central Virginia,1,Henrico County,848,0600,0430600,John Randolph Tucker High
2023-2024,043,678,NA,678,school,Central Virginia,1,Henrico County,439,0130,0430130,John Rolfe Middle
2023-2024,043,769,NA,769,school,Central Virginia,1,Henrico County,413,0250,0430250,L. Douglas Wilder Middle
2023-2024,043,454,NA,454,school,Central Virginia,1,Henrico County,364,0430,0430430,Laburnum Elementary
2023-2024,043,414,NA,414,school,Central Virginia,1,Henrico County,237,0370,0430370,Lakeside Elementary
2023-2024,043,475,NA,475,school,Central Virginia,1,Henrico County,330,0050,0430050,Longdale Elementary
2023-2024,043,544,NA,544,school,Central Virginia,1,Henrico County,288,0490,0430490,Maude Trevvett Elementary
2023-2024,043,662,NA,662,school,Central Virginia,1,Henrico County,260,0540,0430540,Maybeury Elementary
2023-2024,043,1740,NA,1740,school,Central Virginia,1,Henrico County,372,0140,0430140,Mills E. Godwin High
2023-2024,043,309,NA,309,school,Central Virginia,1,Henrico County,224,0210,0430210,Montrose Elementary
2023-2024,043,607,NA,607,school,Central Virginia,1,Henrico County,69,0270,0430270,Nuckols Farm Elementary
2023-2024,043,370,NA,370,school,Central Virginia,1,Henrico County,87,0440,0430440,Pemberton Elementary
2023-2024,043,539,NA,539,school,Central Virginia,1,Henrico County,247,0570,0430570,Pinchbeck Elementary
2023-2024,043,834,NA,834,school,Central Virginia,1,Henrico County,181,0280,0430280,Pocahontas Middle
2023-2024,043,1013,NA,1013,school,Central Virginia,1,Henrico County,448,0690,0430690,Quioccasin Middle
2023-2024,043,487,NA,487,school,Central Virginia,1,Henrico County,281,0630,0430630,R.C. Longan Elementary
2023-2024,043,485,NA,485,school,Central Virginia,1,Henrico County,278,0090,0430090,Ridge Elementary
2023-2024,043,725,NA,725,school,Central Virginia,1,Henrico County,50,0240,0430240,Rivers Edge Elementary
2023-2024,043,475,NA,475,school,Central Virginia,1,Henrico County,202,0650,0430650,Ruby F. Carver Elementary
2023-2024,043,185,NA,185,school,Central Virginia,1,Henrico County,123,0220,0430220,Sandston Elementary
2023-2024,043,425,NA,425,school,Central Virginia,1,Henrico County,263,0550,0430550,Seven Pines Elementary
2023-2024,043,595,NA,595,school,Central Virginia,1,Henrico County,59,0710,0430710,Shady Grove Elementary
2023-2024,043,541,NA,541,school,Central Virginia,1,Henrico County,87,0060,0430060,Short Pump Elementary
2023-2024,043,1082,NA,1082,school,Central Virginia,1,Henrico County,142,0080,0430080,Short Pump Middle
2023-2024,043,565,NA,565,school,Central Virginia,1,Henrico County,283,0480,0430480,Skipwith Elementary
2023-2024,043,645,NA,645,school,Central Virginia,1,Henrico County,248,0230,0430230,Springfield Park Elementary
2023-2024,043,299,NA,299,school,Central Virginia,1,Henrico County,114,0010,0430010,Three Chopt Elementary
2023-2024,043,642,NA,642,school,Central Virginia,1,Henrico County,58,0360,0430360,Tuckahoe Elementary
2023-2024,043,1057,NA,1057,school,Central Virginia,1,Henrico County,354,0520,0430520,Tuckahoe Middle
2023-2024,043,538,NA,538,school,Central Virginia,1,Henrico County,77,0310,0430310,Twin Hickory Elementary
2023-2024,043,261,NA,261,school,Central Virginia,1,Henrico County,131,0290,0430290,Varina Elementary
2023-2024,043,1411,NA,1411,school,Central Virginia,1,Henrico County,791,0580,0430580,Varina High
2023-2024,044,358,NA,358,school,Western Virginia,6,Henry County,259,0361,0440361,Axton Elementary
2023-2024,044,1140,NA,1140,school,Western Virginia,6,Henry County,788,0010,0440010,Bassett High
2023-2024,044,265,NA,265,school,Western Virginia,6,Henry County,226,0590,0440590,Campbell Court Elementary
2023-2024,044,386,NA,386,school,Western Virginia,6,Henry County,272,0530,0440530,Drewry Mason Elementary
2023-2024,044,762,NA,762,school,Western Virginia,6,Henry County,568,0620,0440620,Fieldale-Collinsville Middle
2023-2024,044,451,NA,451,school,Western Virginia,6,Henry County,340,0480,0440480,G.W. Carver Elementary
2023-2024,044,743,NA,743,school,Western Virginia,6,Henry County,494,0670,0440670,Laurel Park Middle
2023-2024,044,1131,NA,1131,school,Western Virginia,6,Henry County,684,0020,0440020,Magna Vista High
2023-2024,044,647,NA,647,school,Western Virginia,6,Henry County,465,0661,0440661,Meadow View Elementary
2023-2024,044,263,NA,263,school,Western Virginia,6,Henry County,180,0872,0440872,Mount Olivet Elementary
2023-2024,044,270,NA,270,school,Western Virginia,6,Henry County,213,0740,0440740,Rich Acres Elementary
2023-2024,044,248,NA,248,school,Western Virginia,6,Henry County,183,0220,0440220,Sanville Elementary
2023-2024,044,274,NA,274,school,Western Virginia,6,Henry County,197,0760,0440760,Stanleytown Elementary
2023-2024,045,112,NA,112,school,Valley,5,Highland County,53,0110,0450110,Highland Elementary
2023-2024,045,100,NA,100,school,Valley,5,Highland County,39,0220,0450220,Highland High
2023-2024,114,818,NA,818,school,Central Virginia,1,Hopewell City,732,0110,1140110,Carter G. Woodson Middle
2023-2024,114,574,NA,574,school,Central Virginia,1,Hopewell City,495,0040,1140040,Dupont Elementary
2023-2024,114,501,NA,501,school,Central Virginia,1,Hopewell City,423,0140,1140140,Harry E. James Elementary
2023-2024,114,1148,NA,1148,school,Central Virginia,1,Hopewell City,1039,0120,1140120,Hopewell High
2023-2024,114,596,NA,596,school,Central Virginia,1,Hopewell City,518,0070,1140070,Patrick Copeland Elementary
2023-2024,114,309,NA,309,school,Central Virginia,1,Hopewell City,176,0151,1140151,Woodlawn Pre-School Learning Center
2023-2024,046,567,NA,567,school,Tidewater,2,Isle of Wight County,193,0421,0460421,Carrollton Elementary
2023-2024,046,234,NA,234,school,Tidewater,2,Isle of Wight County,86,0280,0460280,Carrsville Elementary
2023-2024,046,373,NA,373,school,Tidewater,2,Isle of Wight County,124,0422,0460422,Georgie D. Tyler Middle
2023-2024,046,632,NA,632,school,Tidewater,2,Isle of Wight County,239,0320,0460320,Hardy Elementary
2023-2024,046,1313,2,1315,school,Tidewater,2,Isle of Wight County,427,0040,0460040,Smithfield High
2023-2024,046,601,NA,601,school,Tidewater,2,Isle of Wight County,186,0050,0460050,Smithfield Middle
2023-2024,046,739,NA,739,school,Tidewater,2,Isle of Wight County,220,0424,0460424,Westside Elementary
2023-2024,046,606,NA,606,school,Tidewater,2,Isle of Wight County,232,0240,0460240,Windsor Elementary
2023-2024,046,527,NA,527,school,Tidewater,2,Isle of Wight County,193,0250,0460250,Windsor High
2023-2024,048,733,NA,733,school,Northern Neck,3,King George County,345,0100,0480100,King George Elementary
2023-2024,048,1493,1,1494,school,Northern Neck,3,King George County,528,0120,0480120,King George High
2023-2024,048,1057,NA,1057,school,Northern Neck,3,King George County,406,0010,0480010,King George Middle
2023-2024,048,546,NA,546,school,Northern Neck,3,King George County,193,0050,0480050,Potomac Elementary
2023-2024,048,714,NA,714,school,Northern Neck,3,King George County,260,0221,0480221,Sealston Elementary
2023-2024,050,450,NA,450,school,Northern Neck,3,King William County,203,0180,0500180,Acquinton Elementary
2023-2024,050,515,NA,515,school,Northern Neck,3,King William County,235,0190,0500190,Cool Spring Primary
2023-2024,050,463,NA,463,school,Northern Neck,3,King William County,203,0160,0500160,Hamilton Holmes Middle
2023-2024,050,678,NA,678,school,Northern Neck,3,King William County,257,0130,0500130,King William High
2023-2024,049,271,NA,271,school,Northern Neck,3,King and Queen County,150,0280,0490280,Central High
2023-2024,049,281,NA,281,school,Northern Neck,3,King and Queen County,141,0200,0490200,King & Queen Elementary
2023-2024,049,303,NA,303,school,Northern Neck,3,King and Queen County,161,0290,0490290,Lawson-Marriott Elementary
2023-2024,051,71,NA,71,school,Northern Neck,3,Lancaster County,26,0310,0510310,Lancaster Early Childhood Education Center
2023-2024,051,541,NA,541,school,Northern Neck,3,Lancaster County,352,0110,0510110,Lancaster Elementary
2023-2024,051,408,NA,408,school,Northern Neck,3,Lancaster County,247,0010,0510010,Lancaster High
2023-2024,052,255,NA,255,school,Southwest,7,Lee County,151,0160,0520160,Dryden Elementary
2023-2024,052,308,NA,308,school,Southwest,7,Lee County,161,0330,0520330,Elk Knob Elementary
2023-2024,052,137,NA,137,school,Southwest,7,Lee County,85,0820,0520820,Elydale Middle
2023-2024,052,333,NA,333,school,Southwest,7,Lee County,177,0630,0520630,Flatwoods Elementary
2023-2024,052,238,NA,238,school,Southwest,7,Lee County,128,0470,0520470,Jonesville Middle
2023-2024,052,777,NA,777,school,Southwest,7,Lee County,468,0300,0520300,Lee High
2023-2024,052,287,NA,287,school,Southwest,7,Lee County,210,0290,0520290,Pennington Middle
2023-2024,052,242,NA,242,school,Southwest,7,Lee County,149,0670,0520670,Rose Hill Elementary
2023-2024,052,111,NA,111,school,Southwest,7,Lee County,63,0200,0520200,St. Charles Elementary
2023-2024,052,283,NA,283,school,Southwest,7,Lee County,153,0880,0520880,Thomas Walker High
2023-2024,137,328,NA,328,school,Valley,5,Lexington City,110,1390,1371390,Harrington Waddell Elementary
2023-2024,137,181,NA,181,school,Valley,5,Lexington City,53,1440,1371440,Lylburn Downing Middle
2023-2024,137,2,NA,2,school,Valley,5,Lexington City,NA,0022,1370022,NA
2023-2024,053,94,NA,94,school,Northern Virginia,4,Loudoun County,18,0510,0530510,Aldie Elementary
2023-2024,053,446,NA,446,school,Northern Virginia,4,Loudoun County,90,0150,0530150,Algonkian Elementary
2023-2024,053,795,NA,795,school,Northern Virginia,4,Loudoun County,159,0610,0530610,Arcola Elementary
2023-2024,053,524,NA,524,school,Northern Virginia,4,Loudoun County,125,0170,0530170,Ashburn Elementary
2023-2024,053,467,NA,467,school,Northern Virginia,4,Loudoun County,146,0220,0530220,Ball's Bluff Elementary
2023-2024,053,144,NA,144,school,Northern Virginia,4,Loudoun County,59,0650,0530650,Banneker Elementary
2023-2024,053,1073,1,1074,school,Northern Virginia,4,Loudoun County,209,0940,0530940,Belmont Ridge Middle
2023-2024,053,645,NA,645,school,Northern Virginia,4,Loudoun County,113,0300,0530300,Belmont Station Elementary
2023-2024,053,734,2,736,school,Northern Virginia,4,Loudoun County,117,0790,0530790,Blue Ridge Middle
