school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2021-2022,095,1531,NA,1531,division,Northern Neck,3,Westmoreland County,792,NA,NA,NA
2021-2022,131,11088,234,11322,division,Tidewater,2,James City County,4000,NA,NA,NA
2021-2022,131,11088,234,11322,division,Tidewater,2,Williamsburg-James City County,4000,NA,NA,NA
2021-2022,132,4143,NA,4143,division,Northern Virginia,4,Winchester City,2520,NA,NA,NA
2021-2022,096,5765,NA,5765,division,Southwest,7,Wise County,2578,NA,NA,NA
2021-2022,097,3831,2,3833,division,Southwest,7,Wythe County,1867,NA,NA,NA
2021-2022,098,12554,320,12874,division,Tidewater,2,York County,2683,NA,NA,NA
2022-2023,001,4726,1,4727,division,Tidewater,2,Accomack County,2861,NA,NA,NA
2022-2023,002,13952,18,13970,division,Valley,5,Albemarle County,4333,NA,NA,NA
2022-2023,101,16046,43,16089,division,Northern Virginia,4,Alexandria City,11296,NA,NA,NA
2022-2023,003,2878,2,2880,division,Western Virginia,6,Alleghany County,1483,NA,NA,NA
2022-2023,004,1663,NA,1663,division,Southside,8,Amelia County,827,NA,NA,NA
2022-2023,005,3987,NA,3987,division,Valley,5,Amherst County,1980,NA,NA,NA
2022-2023,006,2361,NA,2361,division,Southside,8,Appomattox County,1182,NA,NA,NA
2022-2023,007,27582,NA,27582,division,Northern Virginia,4,Arlington County,7855,NA,NA,NA
2022-2023,008,10076,1,10077,division,Valley,5,Augusta County,4479,NA,NA,NA
2022-2023,009,504,NA,504,division,Valley,5,Bath County,278,NA,NA,NA
2022-2023,010,9089,1,9090,division,Valley,5,Bedford County,3609,NA,NA,NA
2022-2023,011,796,NA,796,division,Southwest,7,Bland County,391,NA,NA,NA
2022-2023,012,4494,NA,4494,division,Western Virginia,6,Botetourt County,1562,NA,NA,NA
2022-2023,102,2195,NA,2195,division,Southwest,7,Bristol City,1283,NA,NA,NA
2022-2023,013,1405,NA,1405,division,Southside,8,Brunswick County,1023,NA,NA,NA
2022-2023,014,2462,NA,2462,division,Southwest,7,Buchanan County,1550,NA,NA,NA
2022-2023,015,1992,NA,1992,division,Southside,8,Buckingham County,1261,NA,NA,NA
2022-2023,103,890,NA,890,division,Valley,5,Buena Vista City,475,NA,NA,NA
