question,score_label,explanation,id_23,id_22,var_name,construct,measure
Has another student spread rumors or lies about you online or on social media this school year?,"{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q27_1_1_f,STU362_1_1_freq,pct_cyberbully,bullying,% of students that have experienced cyberbullying during the school year
Have you spread rumors or lies about another student online or on social media this school year?,"{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q27_2_1_f,STU362_2_1_freq,pct_cyberbully_others,bullying,% of students that have cyberbullied another student during the school year
Bullying scale (Bullying is a problem at this school./Students at this school are bullied about their race or ethnicity./Students at this school are bullied about their sexual orientation./Students at this school are bullied about their physical appearance./Students at this school are bullied for having too little or too much money./Students at this school are bullied about their disability.),"{""1"":""Strongly Disagree"", ""2"":""Disagree"", ""3"":""Somewhat Disagree"", ""4"":""Somewhat Agree"", ""5"":""Agree"", ""6"":""Strongly Agree""}",Average of scores,Q23_m,STUBullying,avg_bully_prob,bullying,Average level of students believing that bulling is a problem at their school
"Did you ask for help from someone such as a doctor, counselor, or hotline?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q49_1_1_f,STU381_1_1.0_freq,pct_asked_help,peer support,% of students that considered suicide that asked for help
Have you participated in any suicide prevention or mental health training?,"{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q50_2_1_f,STU383_2_1_freq,pct_sui_training,peer support,% of students that have participated in suicide prevention or mental health training
Relationships among students scale (I get along well with other students at this school./I care about other students at this school./ I feel as if other students at this school care about me.),"{""1"":""Strongly Disagree"", ""2"":""Disagree"", ""3"":""Somewhat Disagree"", ""4"":""Somewhat Agree"", ""5"":""Agree"", ""6"":""Strongly Agree""}",Average of scores,Q10_m,STURelStu,avg_peer_rel,peer support,Average relationship among students scale 
"Has anyone offered, sold, or given you alcohol or drugs on school property this year?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q20_1_f,STU355_1.0_freq,pct_offered_drugs,school environment,"% of students that have been offered, sold, or given drugs or alcohol on school property "
"Has another student at your school made unwelcome sexual comments, jokes, or gestures that made you feel uncomfortable this school year?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q27_3_1_f,STU362_3_1_freq,pct_sexual_comment,school environment,"% of students that experienced unwelcome sexual comments, jokes, or gestures by another student during the school year"
Student Aggression scale 1 (How often do you worry about violence at your school?/How often do students get into physical fights at your school?),"{""1"":""Strongly Disagree"", ""2"":""Disagree"", ""3"":""Somewhat Disagree"", ""4"":""Somewhat Agree"", ""5"":""Agree"", ""6"":""Strongly Agree""}",Average of scores,Q28_m,STUStuAggr1,avg_worry_violence,school environment,Average level of students that worry about violence at school
How positive or negative is the atmosphere of the school?,"{""1"":""Strongly Disagree"", ""2"":""Disagree"", ""3"":""Somewhat Disagree"", ""4"":""Somewhat Agree"", ""5"":""Agree"", ""6"":""Strongly Agree""}",Average of scores,Q51_m,STU384_mean,avg_envi,school environment,Average positive or negative atmosphere at the school
"During the past 12 months, did you ever seriously consider attempting suicide?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q48_1_f,STU380_1_freq,pct_consider_sui,suicide,% of of students that seriously considered suicide during the past 12 months
"During the past 12 months, did you make a plan about how you would attempt suicide?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q49_2_1_f,STU381_2_1.0_freq,pct_plan_sui,suicide,% of students that made a suicide plan during the past 12 months
"During the past 12 months, how many times did you actually attempt suicide?","{""1"":""0 times"", ""2"":""1 Time"", ""3"":""2 or 3 Times"", ""4"":""4 or 5 Times"", ""5"":""6 or More Times""}",Average of scores,Q48B_m,STU382_mean,avg_sui_attempts,suicide,Average number of times a student attempted suicide during the past 12 months
Do you have positive relationships with any of these adults in your schools?---I do not have a positive relationship with any adult at this school.,"{""0"":""Not selected"",""1"":""Selected""}",% of selecting 1,Q13_8_f,STU348_8_freq,pct_no_adult,trusted adult,% of students that do not have a positive relationship with any adult at their school
"When you feel sad or hopeless, are there adults that you can turn to for help?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q47_2_f,STU379_2_freq,pct_sad_adult,trusted adult,% of students that have an adult they can turn to when feeling sad or hopeless
"If another student talked about causing harm to themselves, I would tell an adult at school.","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q50_1_1_f,STU383_1_1_freq,pct_tell_adult,trusted adult,% of students that would tell an adult at school if another student talked about harming themselves 
Relationships between students and adults scale (Adults at this school care about me./Adults at this school treat me with respect./Adults at this school want me to succeed./Adults at this school listen to what I have to say./I respect the adults at this school./If I Am absent there is a teacher or some other adult at school that will notice my absence.),"{""1"":""Strongly Disagree"", ""2"":""Disagree"", ""3"":""Somewhat Disagree"", ""4"":""Somewhat Agree"", ""5"":""Agree"", ""6"":""Strongly Agree""}",Average of scores,Q12_m,STURelAdlt,avg_adult_rel,trusted adult,Average level of students that feel like adults care about them at school
Do adults take action to solve bullying problems?,"{""1"":""Strongly Disagree"", ""2"":""Disagree"", ""3"":""Somewhat Disagree"", ""4"":""Somewhat Agree"", ""5"":""Agree"", ""6"":""Strongly Agree""}",Average of scores,Q27_4_m,NA,avg_adult_bully_23,trusted adult,Average level of adults taking action against bullying at the school
Do adults at this school take action to solve the problem when students report bullying?,"{""0"":""No"",""1"":""Yes""}",% of selecting 1,NA,STU362_4_1_freq,pct_adult_bully_22,trusted adult,% of students that believe adults take action to solve bullying problems at school
