label,locality_grouping,name,value
Norfolk City,division,pct_disadv,59.21214608124743
Norfolk City,division,staff_per_1k_students,9.139403887044429
Northampton County,division,pct_disadv,66.6923076923077
Northampton County,division,staff_per_1k_students,10.807692307692308
Northumberland County,division,pct_disadv,54.90533562822719
Northumberland County,division,staff_per_1k_students,6.049913941480207
Norton City,division,pct_disadv,55.2046783625731
Norton City,division,staff_per_1k_students,3.04093567251462
Nottoway County,division,pct_disadv,73.9542665923034
Nottoway County,division,staff_per_1k_students,7.808142777467931
Orange County,division,pct_disadv,43.7007874015748
Orange County,division,staff_per_1k_students,5.708661417322834
Page County,division,pct_disadv,46.944349607374534
Page County,division,staff_per_1k_students,4.779788323659952
Patrick County,division,pct_disadv,51.4486391571554
Patrick County,division,staff_per_1k_students,3.950834064969272
Petersburg City,division,pct_disadv,69.38018332605849
Petersburg City,division,staff_per_1k_students,5.674378000872982
Pittsylvania County,division,pct_disadv,36.01072659941259
Pittsylvania County,division,staff_per_1k_students,5.66722002298557
Poquoson City,division,pct_disadv,25.375302663438255
Poquoson City,division,staff_per_1k_students,5.326876513317191
Portsmouth City,division,pct_disadv,68.00402757338703
Portsmouth City,division,staff_per_1k_students,7.977693439702579
Powhatan County,division,pct_disadv,25.189904435187454
Powhatan County,division,staff_per_1k_students,5.48885077186964
Prince Edward County,division,pct_disadv,37.289972899728994
Prince Edward County,division,staff_per_1k_students,1.084010840108401
Prince George County,division,pct_disadv,55.73058993730912
Prince George County,division,staff_per_1k_students,4.902748754219578
Prince William County,division,pct_disadv,34.01780886912577
Prince William County,division,staff_per_1k_students,5.609683434662194
Pulaski County,division,pct_disadv,43.62599771949829
Pulaski County,division,staff_per_1k_students,5.24515393386545
Radford City,division,pct_disadv,44.61446144614462
Radford City,division,staff_per_1k_students,4.671467146714671
Rappahannock County,division,pct_disadv,34.62532299741602
Rappahannock County,division,staff_per_1k_students,9.04392764857881
Richmond City,division,pct_disadv,66.07551220422832
Richmond City,division,staff_per_1k_students,13.907686563681336
Richmond County,division,pct_disadv,50.21428571428571
Richmond County,division,staff_per_1k_students,5
Roanoke City,division,pct_disadv,61.672549160844206
Roanoke City,division,staff_per_1k_students,8.761074695670963
Roanoke County,division,pct_disadv,36.09493302271404
Roanoke County,division,staff_per_1k_students,7.061735585323238
Rockbridge County,division,pct_disadv,43.51145038167939
Rockbridge County,division,staff_per_1k_students,6.026516673362796
Rockingham County,division,pct_disadv,41.88092594174426
Rockingham County,division,staff_per_1k_students,6.483300589390963
Russell County,division,pct_disadv,52.16741405082213
Russell County,division,staff_per_1k_students,6.038863976083707
Salem City,division,pct_disadv,45.08032128514056
Salem City,division,staff_per_1k_students,4.593373493975904
Scott County,division,pct_disadv,45.491509208323365
Scott County,division,staff_per_1k_students,7.175316909830184
Shenandoah County,division,pct_disadv,53.92963416768774
Shenandoah County,division,staff_per_1k_students,5.601260283563802
Smyth County,division,pct_disadv,55.8432131623518
Smyth County,division,staff_per_1k_students,4.234212436486813
Southampton County,division,pct_disadv,45.2814219212865
Southampton County,division,staff_per_1k_students,5.50148116800677
Spotsylvania County,division,pct_disadv,45.98879435567545
Spotsylvania County,division,staff_per_1k_students,6.8935463789167875
Stafford County,division,pct_disadv,45.19567391847962
Stafford County,division,staff_per_1k_students,5.838959739934984
Staunton City,division,pct_disadv,47.624350408314776
Staunton City,division,staff_per_1k_students,4.268745360059391
Suffolk City,division,pct_disadv,41.56370126304228
Suffolk City,division,staff_per_1k_students,8.44316309719934
Surry County,division,pct_disadv,54.7550432276657
Surry County,division,staff_per_1k_students,7.204610951008645
Sussex County,division,pct_disadv,71.82425978987584
Sussex County,division,staff_per_1k_students,10.506208213944603
Tazewell County,division,pct_disadv,57.92955827982098
Tazewell County,division,staff_per_1k_students,6.030356100408641
Virginia Beach City,division,pct_disadv,45.505453311324686
Virginia Beach City,division,staff_per_1k_students,6.300232942011324
Warren County,division,pct_disadv,43.01331743192208
Warren County,division,staff_per_1k_students,5.167958656330749
Washington County,division,pct_disadv,37.75398132894014
Washington County,division,staff_per_1k_students,3.912685337726524
Waynesboro City,division,pct_disadv,53.843626806833115
Waynesboro City,division,staff_per_1k_students,6.208935611038108
West Point,division,pct_disadv,37.129300118623966
West Point,division,staff_per_1k_students,5.931198102016607
Westmoreland County,division,pct_disadv,54.76493011435832
Westmoreland County,division,staff_per_1k_students,4.447268106734435
Williamsburg-James City County,division,pct_disadv,34.00119362264473
Williamsburg-James City County,division,staff_per_1k_students,8.397987893256033
Winchester City,division,pct_disadv,58.780375974323704
